SN,Text,Person,Organization,Geo-Political Entity,Nationalities/Religious/Political Groups,Date,Time,Money,Percent,Facility,Product,Work of Art,Language,Event,Law,Ordinal,Cardinal
31,"Hey, wanna chill @ the park later? Weather's gr8!",-,-,-,-,-,-,-,-,Park,-,-,-,Chill,-,-,-
32,"Apply Now : ko9.in/s/StL0oaGGbI""",-,ko9.in,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,"A/c No **2983 Debited  with Rs 35--UPI/DR/205487305154/DREAM11/YESB/00226110000002 (CLR BAL 71662.78CR)(23-02-2022 22:59:12)-Punjab&Sind Bank""",-,"Dream11, Punjab & Sind Bank",-,-,23/02/2022,22:59:12,Rs 35,-,UPI,-,-,-,-,-,-,"2983, 71662.78CR, 205487305154"
34,"We're thrilled to keep you updated with our latest offers and promotions! Don't miss out on exclusive deals tailored just for you. With our app, enjoy all things money and simpler payments, right at your fingertips. If you'd prefer not to receive these updates, you can easily opt-out anytime through the 'marketing communications' option under the profile section in your e& money application. Thanks for being a valued customer!To OPTOUT, SMS B AD-e& money to 7726",-,e& money,-,-,-,-,-,-,-,-,-,-,-,-,-,7726
35,You've won the dinner jackpot - Barilla Spaghetti & Bolognese worth Ã‚Â£3. Your exclusive Morrisons voucher is below: https://barilla.umvs.uk/start/DMCKJFGHRTTC,-,Morrisons,-,-,-,-,£3,-,-,Barilla Spaghetti & Bolognese,-,-,Jackpot,-,-,-
36,"Hi , use code: 37634 to authorize your Smart Pass request. If this is not you; reach out to us via chat on Liv app or WhatsApp at +971600521212 to report fraud.",-,Liv app,-,-,-,-,-,-,-,Smart Pass,-,-,-,-,-,"37634, +971600521212"
37,"Sent Rs. 2000.00 to AMRESHGIRI via a Paytm bank partner. Service charge 1%, min Rs. 10. Ref ID: 212517832262. Queries? Visit http://m.paytm.me/care",Amreshgiri,Paytm,-,-,-,-,Rs.2000,1%,Paytm,Bank Transfer,-,-,-,-,-,212517832262.00
38,Get Free Consultation and Diet Plan with Possible Weight Loss Plans.,-,-,-,-,-,-,-,-,-,"Consultation, Diet Plan",-,-,-,-,-,-
39,"Dear sir/mam Your application for selection with our company has been approved. Can get 5,000/day. https://wa.me/85254808676 RisingChildSchool",-,RisingChildSchool,-,-,-,-,Rs.5000/day,-,-,-,-,-,Job Offer,-,-,85254808676
40,Ooo okay! But I thought we did in the lit review liao? Or the details is it?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Dada k balance er kothata bolecho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1.79 AED was debited from your account ending with 7001 at Temu.com Dublin 4 IE. Your balance is now 22.41 AED.,-,Temu.com,Ireland (IE),-,-,-,1.79 AED,-,-,-,-,-,-,-,-,"7001, 22.41 AED"
43,A/c X5823 DEBIT:Rs.500.00 UPI/SBIN/208985953776/Zomato Ltd/Ro Bal:Rs.1181.71 Block A/c?call 18004251809/SMS BLK<full A/c>to 9840777222-South Indian Bank,-,"Zomato Ltd, South Indian Bank",-,-,-,-,Rs.500,-,UPI,-,-,-,-,-,-,"5823, 1181.71, 208985953776"
44,"Congratulations, you have been enrolled to Junglee Rummy VIP Club. Download our cash app now and start winning. https://jrum.my/FhhdF",-,Junglee Rummy,-,-,-,-,-,-,-,Cash App,-,-,Enrollment,-,-,-
45,"Dear Bueno Customer, we hope you had a 5 star experience with us. Please rate us on Play Store to spread the word! https://tinyurl.com/yxeo78gb",-,Bueno,-,-,-,-,-,-,-,Rating,-,-,-,-,-,-
46,"Last call= 0.00 SAR. Balance: 0.00 SAR. Qitaf balance=0.00 . To know Sawa Ziyara offers, Send 6700 to 900",-,-,-,-,-,-,0.00 SAR,-,Qitaf,-,-,-,-,-,-,"6700, 900"
47,Haha maybe! Yeah probably suspect le! Haha sian got chased out of mybro's room coz he say his tuition teacher coming!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,Final call for up to 60% OFF Family Festival Offers! Don't miss out - shop now before they're gone: https://bit.ly/3T484ld To Opt-out: C4UAESTOP to 2566.,-,-,-,-,-,-,-,60%,-,-,-,-,"Sale, Discount Offers",-,-,60% OFF
49,"Yeah, admittedly that was weird... but that could be just as muchpart of him being 'conservative'. Religious people aren't known forbeing against immigrant rights as far as I've seen lol",-,-,-,"Religious, Conservative",-,-,-,-,-,-,-,-,-,-,-,-
50,"RwdGiant: Mohammad, you're so close to the 100 towards Sainsbury's! Take action and begin earning here: https://rwdflow.com/2jpxbejw Reply STOP to cancel",Mohammad,Sainsbury's,-,-,-,-,-,-,-,-,-,-,Promotion,-,hundred,-
51,"Inward Remittance, Mohamed Makram Ali Hassan Ismail of 10.00 AED was credited to your account ending with 7001. Your balance is now 21.91 AED.",Mohamed Makram Ali Hassan Ismail,-,-,-,-,-,10.00 AED,-,Inward Remittance,-,-,-,-,-,-,"7001, 21.91 AED"
52,ICICI Bank Acct XX224 debited for Rs 794.00 on 25-Jan-22; DHAMANJEET KAUR KANG credited. UPI:202500621091. Call 18002662 for dispute. SMS BLOCK 224 to 9215676766.,Dhamanjeet Kaur Kang,ICICI Bank,-,-,25-Jan-22,-,Rs 794.00,-,UPI,Debit,-,-,-,-,-,"224, 202500621091"
53,"Rs300.0 debited@SBI UPI frm A/cX1955 on 27Feb22 RefNo 205875072304. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI",-,SBI,-,-,27-Feb-22,-,Rs 300.0,-,UPI,Debit,-,-,-,-,-,"1955, 205875072304"
54,90% daily data quota used as on 17-Jan-22 06:57.,-,-,-,-,17-Jan-22,6:57,-,90%,-,Data,-,-,-,-,-,-
55,90% Data quota used as on 01-May-22 23:39.,-,-,-,-,01-May-22,23:39,-,90%,-,Data,-,-,-,-,-,-
56,Balance Data : 97.84 MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97.84 MB
57,"Awesome, lemme know whenever you're around",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,"Click to know the benefits of paying your dues on time http://1kx.in/Xh0XIk""",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,"Dear Customer, transaction number 205610008502 for Rs.340.00 by SBI Debit Card X9269 done at 26574808 on 25Feb22 at 15:36:50. Your updated available balance is Rs.2336.47. If not done by you, forward this SMS to 9223008333/ call 1800111109/9449112211 to block card.",-,SBI,-,-,25-Feb-22,15:36:50,"Rs. 340.0, Rs. 2336.47",-,Debit Card,Transaction,-,Fraud Alert,-,-,-,"205610008502, 9269, 26574808, 9223008333, 1800111109, 9449112211"
60,"Yo Rohit, since Mohammad is exhausted If we are not there by like 11:15, start the ceremony. Worst case...","Rohit, Mohammad",-,-,-,-,-,-,-,-,-,-,-,Ceremony Start,-,-,-
61,Recharge your Jio no. 7875313460 today on PhonePe with Rs.249 plan. Existing user get rewards upto Rs.500 each & New user get rewards upto Rs.650 each on first 3 recharges for self & family by paying via UPI. T&CA. Click https://phon.pe/jion1,-,"Jio, PhonePe",-,-,-,-,Rs. 249,-,UPI,Recharge Plan,-,English,Recharge Offer,-,-,7875313460
62,90% daily data quota used as on 14-Mar-22 23:50.,-,-,-,-,14-Mar-22,23:50,-,90%,-,Data,-,-,Data Quota Usage,-,-,-
63,Enjoy Etihad's limited-time offers. Book exciting holidays to top Asian destinations with special fares until 19 July.https://bit.ly/4bG9zvLTo opt out send EYGSTOP to 4334,-,Etihad,-,-,-,-,-,-,-,Holiday Offer,-,English,Limited-time Offer,-,-,-
64,"Hi 7XX187XX4X_4167762, Deposit of Rs.50 is successfully credited in your Classicrummy account. Thank you! - Classicrummy.",-,Classicrummy,-,-,-,-,Rs.50,-,-,Deposit,-,-,-,-,-,7XX187XX4X_4167762
65,"Purchase of AED 99.00 with Debit Card ending 6248 at noon food, 80038888. Avl Balance is AED 441.02.",-,noon food,-,-,-,-,"AED 99.00, AED 441.02",-,-,Debit Card,-,-,-,-,-,"6248, 80038888"
66,"Please be informed that you have completed the theory exam and the internal practical training, you can request a driving test appointment by the following link: https://tamm.abudhabi/s/adp/rtd",-,-,Abu Dhabi,-,-,-,-,-,-,Driving Test,-,-,Theory Exam,-,-,-
67,"Dear Customer, Your a/c no. XXXXXXXX6032 is credited by Rs.1.00 on 28-04-22 by a/c linked to mobile 5XXXXXX274-Razorpay Composite (IMPS Ref no 211815495011).If not done by you, call 1800111109. -SBI",-,"SBI, Razorpay",-,-,28/04/2022,-,Rs.1.00,-,-,IMPS,-,-,-,-,-,"6032, 5XXXXXX274, 211815495011, 1800111109"
68,<#> 640226 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q,-,Zomato,-,-,-,-,-,-,-,-,-,-,-,-,-,640226
69,"Dear Lovepreet kaur, you are one step away to get a pre-approved TW loan voucher. Click here to proceed http://bit.ly/3CneaBC - Shriram City",Lovepreet Kaur,Shriram City,-,-,-,-,-,-,-,TW loan voucher,-,-,-,-,One (step away),3CneaBC
70,"Purchase of AED 25.50 with Debit Card ending 6248 at HOUSE OF TEA RESTAURAN, ABU DHABI. Avl Balance is AED 129.06.",-,HOUSE OF TEA RESTAURAN,ABU DHABI,-,-,-,"AED 25.50, AED 129.06",-,-,Debit Card,-,-,-,-,-,6248
71,"Cash Withdrawal of AED 100.00 with Debit Card ending 6248 at ABU DHABI UAEAE, ABU DHABI. Avl Bal is AED 604.44.Most Liv. users enjoy going cashless and pay with their debit card.",-,-,"ABU DHABI, UAEAE",-,-,-,"AED 100.00, AED 604.44",-,-,Debit Card,-,-,-,-,-,6248
72,Phta charge a diye khey suye porbo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,"Transaction of AED 4.00 on your Card ending 6248 was declined due to insufficient limit available on your card. For details, please call 600540000",-,-,-,-,-,-,AED4.00,-,Card,-,-,-,-,-,-,-
74,"Purchase of AED 34.30 with Debit Card ending 6248 at noon food, 80038888. Avl Balance is AED 51.01.",-,Noon Food,-,-,-,-,AED34.30,-,Debit Card,-,-,-,-,-,-,-
75,"Urgent hiring For Accountant,Back office,HR, Exp0-3 year, CTC-20k to 45k, Contact-9599141326 sent via shine.com",-,Shine.com,-,-,-,-,CTC 20k to 45k,-,-,"Accountant, Back office, HR",-,-,-,0-3 years,-,-
76,Nop not going. Nvr sign up also,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,Oh.which temple?,-,-,-,-,-,-,-,-,Temple,-,-,-,-,-,-,-
78,"Transaction of AED 364.99 on your Card ending 6248 was declined due to insufficient limit available on your card. For details, please call 600540000",-,-,-,-,-,-,AED364.99,-,Card,-,-,-,-,-,-,"6248, 6540000"
79,Pls check fr 2 things before buying any house in future:1) Chain of the Property should exist.2) Mapping of the Property should be minimum  <#>  yards. This is theeligibility of the Property to be Valid for Mapping.,-,-,-,-,-,-,-,-,Mapping,House,-,-,-,-,-,"1,2"
80,Tshirt stage?,-,-,-,-,-,-,-,-,-,T-shirt,-,-,-,-,-,-
81,I emailed yifeng my part oredi.. Can ? get it fr him..,Yifeng,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,Kk.. thanks!! :) life not too bad. Yours? Enjoyed ur trip?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,"We miss you, come back to GymNation today for just 49dhs. 24 HOURS Offer. More info on > wa.link/lq3g5d",-,GymNation,-,-,-,-,49 DHS,-,Gym,Offer,-,-,24-Hour Offer,-,-,-
84,Your a/c XXXXXXXXXXXX9102 is credited Rs. 40.00 from SURESH M on 4/5/2022 7:47:05 AM.info :UPI/P2A/209581268899 -KVB,SURESH M,KVB,-,-,04/05/2022,7:47:05 AM,Rs. 40,-,UPI,Credit,-,-,Account Credit,-,-,"9102, 209581268899"
85,"Purchase of AED 2.00 with Debit Card ending 6248 at ADNH COMPASS EMIRATES, DUBAI. Avl Balance is AED 223.11.",-,ADNH Compass Emirates,UAE,-,-,-,AED2.00,-,Debit Card,Purchase,-,-,-,-,-,6248
86,"Dear Customer, use OTP code 551705 to verify your account. Grofers, Aapki SuperSavings ki Dukaan",-,Grofers,-,-,-,-,-,-,OTP,Account Verification,-,-,Account Verification,-,-,551705
87,"Transaction of AED 19.99 on your Card ending 6248 was declined due to insufficient limit available on your card. For details, please call 600540000",-,-,-,-,-,-,AED19.99,-,Card,Transaction,-,-,Transaction Declined,-,-,6248
88,07015 is your verification code for DSO Mall Free Wi-Fi,-,DSO Mall,-,-,-,-,-,-,Wi-Fi,Verification Code,-,-,-,-,-,7015
89,Liver Kidney CBC Iron Urine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,<#> Hi! Your music PIN is 4562. Keep grooving with Wynk :),-,Wynk,-,-,-,-,-,-,-,Music PIN,-,-,-,-,-,4562
91,166.31 AED was debited from your account ending with 7001 at VOGO GRAND HOTEL L.L.C DUBAI AE. Your balance is now 38.49 AED.,-,VOGO GRAND HOTEL L.L.C,"Dubai, AE",-,-,-,"166.31 AED, 38.49 AED",-,-,-,-,-,-,-,-,7001
92,Transaction failed. Please check that you have enough balance in your SIM Card account.,-,-,-,-,-,-,-,-,-,Sim Card,-,-,-,-,-,-
93,Bought pendrive de...copied:(will give u aft de:(actually my sim blocked so could not reply:(unna,-,-,-,-,-,-,-,-,-,Pendrive,-,-,-,-,-,-
94,Your VPA manishhsinghbist2357@okhdfcbank linked to your a/c no. XXXXXX2627 is debited for Rs. 20.0 and credited to VPA q169423478@ybl UPI Ref no. 211389739442. - Bank of Baroda,Manish Singh,Bank of Baroda,-,-,-,-,Rs.20,-,-,"Debit, Credit",-,-,-,-,-,"2627, 211389739442"
95,"Dear Customer, Your shipment number 7530302 is on delivery, Please present a valid ID on delivery and verification code 42965. For inquires 600500877 - TAWZEA. www.Tawzea.ae",-,TAWZEA,-,-,-,-,-,-,-,Shipment,-,-,Delivery,-,-,7530302
96,Refund of Rs 20 has been initiated for your Swiggy order 134411115203. Updated balance should reflect in 2 hours. http://swig.gy/refunds,-,Swiggy,-,-,-,-,Rs.20,-,-,Refund,-,-,-,-,-,1.34411E+11
97,"Hi, 5130 is your OTP to deactivate your account on slice. Visit https://help.sliceit.com in case of any issues. This OTP will be valid only for next 299 seconds.  Cq2RgfYZtBP -slice",-,Slice,-,-,-,-,-,-,-,OTP,-,-,-,-,-,5130
98,You have recently recharged your Jio No. 9561940906 . Please click www.jio.com/r/Ip618uTOu to share your feedback on your recharge experience. Team Jio,-,Jio,-,-,-,-,-,-,-,Recharge,-,-,-,-,-,9561940906
99,"Purchase of AED 10.00 with Debit Card ending 6248 at MUSTAFA GROCERY, ABU DHABI. Avl Balance is AED 118.06.",-,Mustafa Grocery,Abu Dhabi,-,-,-,AED10,-,-,Debit Card,-,-,-,-,-,6248
100,Your a/c no. XXXXXXXX3301 is debited for Rs.279.00 on 21-03-22 and credited to a/c no. XXXXXXXX3360 (UPI Ref no 208008177906) -Karnataka Bank,-,Karnataka Bank,-,-,21/03/2022,-,Rs.279,-,-,-,-,-,-,-,-,"3301, 3360"
